N_CARD_SKIMMING,SUCCESS_ATTACK,N_INCOME,COORD_X,RECOV_AMOUNT,N_DENSITY,ATM_ID,PROB_ATTACKED,BURGLARY,VANDALISM,UNP_RATE,N_FREQ_ATTACK,N_MANUAL_ATK,RECOVERED,N_FRAUD_ATTACK,N_ATTACK_L2,N_AGE,FREGUESIA,MANUAL_ATK,INCOME,PARISH,TRANS_REVER,N_LOG_ISOLATED,N_PHYS_ATTACK,CARD_SKIMMING,N_CASH_TRAPPING,INDIRECT_LOSS,ATTACK_DURATION,COORD_Y,CARD_TRAPPING,N_CARD_TRAPPING,ACCOUNT_DATE,PERSONA1,FREQ_ATTACK,LOG_ISOLATED,CASH_TRAPPING,LOGIC_ATK,PERSONA2,DETEC_DATE,WITHIN500,N_TRANS_REVER,EXPLO_GAS,RECOV_DATE,Police_Dis,N_LOG_NETWORK,N_VANDALISM,ADDRESS,NET_LOSS,NUMBER,RAM_RAIDS,COM_DENS,EVENT_DATE,PHYS_ATTACK,N_ATTACK_L0,N_IMPLEM_TYPE,AGE,GROSS_LOSS,N_COM_DENS,N_UNP_RATE,DENSITY,N_BURGLARY,WITHIN1000,MWay_Dist,N_ATTACK_L1,LOG_NETWORK,N_EXPLO_GAS,YEAR_ACOUNT,N_LOGIC_ATK,BANK,FRAUD_ATTACK,N_RAM_RAIDS
0,,4,-9.16436,,1,CGD18,1.0,0,0,14,0,0,,0,,4,Campo de Ourique,0,40,16,0,0,0,0,0,,,38.70451,0,0,,,0,0,0,0,,,0,0,0,,982.82,0,0,"Rua Presidente Arriaga, Lisbon",,1,0,9,,0,,,54,,2,4,3.33,0,1000,1270.54,,0,0,,0,CAIXA GERAL DE DEPOSITOS,0,0
0,,4,-9.14466,,1,SI24,0.0,0,0,12,0,0,,0,,4,Avenidas Novas,0,44,22,0,0,0,0,0,,,38.73293,0,0,,,0,0,0,0,,,500,0,0,,518.32,0,0,"Praca Duque De Saldanha 1, Lisbon",,1,0,37,,0,,,50,,4,3,2.66,0,1000,2161.64,,0,0,,0,SOCIEDADE INTERBANCARIA,0,0
1,1,4,-9.18781,0,4,MG98,1.0,0,0,13,1,1,0,1,010102,2,Carnide,2,44,11,0,0,0,1,0,0,0.5,38.747,1,1,31-Mar-2015 00:00,4,2,0,0,0,,27-Mar-2015 11:00,0,0,0,,903.66,0,0,"Estrada Benfica 158, Lisbon",800,1,0,18,26-Mar-2015 19:40,0,1,3,33,800,2,3,27.13,0,1000,595.16,0101,0,0,2015,0,MONTEPIO GERAL,2,0
0,,6,-9.14107,,2,NB99,5.29537160668e-303,0,0,3,0,0,,0,,3,Alvalade,0,70,7,0,0,0,0,0,,,38.74716,0,0,,,0,0,0,0,,,500,0,0,,562.45,0,0,"Avenida De Roma 49, Lisbon",,1,0,28,,0,,,41,,4,1,15.16,0,1000,1737.86,,0,0,,0,NOVO BANCO,0,0
1,1,4,-9.17363,0,4,BB12,1.0,0,0,12,1,1,0,1,010101,1,Carnide,2,40,11,0,0,0,2,0,0,8,38.75224,0,0,30-Dec-2011 12:00,2,2,0,0,0,,10-Dec-2011 13:00,0,0,0,,1245.62,0,0,"Estrada Da Luz 106 D, Lisbon",14000,1,0,9,02-Dec-2011 09:00,0,1,4,28,14000,2,3,33.16,0,0,601.60,0101,0,0,2011,0,BARCLAYS BANK,2,0
0,,6,-9.16444,,2,CGD49,1.0,0,0,2,0,0,,0,,3,Campo de Ourique,0,64,18,0,0,0,0,0,,,38.72362,0,0,,,0,0,0,0,,,0,0,0,,831.46,0,0,"Avenida Engenheiro Duarte Pacheco, Lisbon",,0,0,65,,0,,,45,,5,1,7.96,0,1000,765.84,,0,0,,0,CAIXA GERAL DE DEPOSITOS,0,0
0,,5,-9.14679,,1,CGD32,0.0,0,0,14,0,0,,0,,4,Avenidas Novas,0,48,15,0,0,0,0,0,,,38.73717,0,0,,,0,0,0,0,,,500,0,0,,339.93,0,0,"Avenida Miguel Bombarda 20, Lisbon",,2,0,18,,0,,,51,,2,4,5.78,0,1000,1761.53,,0,0,,0,CAIXA GERAL DE DEPOSITOS,0,0
0,,5,-9.14969,,1,MG26,0.0,0,0,6,0,0,,0,,4,Santo AntMnio,0,50,18,0,0,0,0,0,,,38.72042,0,0,,,0,0,0,0,,,500,0,0,,457.62,0,0,"Rua Castilho 5, Lisbon",,0,0,9,,0,,,53,,2,2,3.85,0,1000,2052.94,,0,0,,0,MONTEPIO GERAL,0,0
0,,5,-9.16624,,1,CGD64,0.0,0,0,7,0,0,,0,,2,Campo de Ourique,0,52,3,0,0,0,0,0,,,38.71375,0,0,,,0,0,0,0,,,500,0,0,,62.15,0,0,"Rua Professor Gomes Teixeira, Lisbon",,1,0,28,,0,,,35,,4,2,4.89,0,1000,1135.54,,0,0,,0,CAIXA GERAL DE DEPOSITOS,0,0
0,,2,-9.11817,,1,BPI18,0.0,0,0,17,0,0,,0,,3,Marvila,0,28,1,0,0,0,0,0,,,38.7507,0,0,,,0,0,0,0,,,500,0,0,,445.18,0,0,"Avenida Santo Condestavel S/N, Lisbon",,2,0,9,,0,,,47,,2,4,0.02,0,1000,1697.09,,0,0,,0,BANCO BPI S.A.,0,0
